# A Mapping between WordNet 3.0 and 3.1 synset offsets
# HyperDic hyper-dictionary, http://hyperdic.net
# (c) 2012 by Eric Kafe
#
# This mapping is released under the CC BY 3.0 license
# http://creativecommons.org/licenses/by/3.0/
#=====================================================
#PoS	WordNet 3.0	WordNet 3.1
a	00001740	00001740
a	00002098	00002098
a	00002312	00002312
a	00002527	00002527
a	00002730	00002730
a	00002843	00002843
a	00002956	00002956
a	00003131	00003131
a	00003356	00003356
a	00003553	00003552
a	00003700	00003699
a	00003829	00003828
a	00003939	00003938
a	00004171	00004170
a	00004296	00004295
a	00004413	00004412
a	00004615	00004614
a	00004723	00004722
a	00004817	00004816
a	00004980	00004979
a	00005107	00005106
a	00005205	00005204
a	00005473	00005472
a	00005599	00005598
a	00005718	00005717
a	00005839	00005838
a	00006032	00006050
a	00006245	00006263
a	00006336	00006354
a	00006777	00006795
a	00006885	00006903
a	00007096	00007115
a	00007208	00007227
a	00007331	00007350
a	00007516	00007535
a	00007697	00007716
a	00007813	00007832
a	00007990	00008009
a	00008206	00008225
a	00008443	00008462
a	00008595	00008614
a	00008734	00008753
a	00008877	00008896
a	00009046	00009065
a	00009346	00009365
a	00009618	00009637
a	00009978	00009997
a	00010385	00010404
a	00010537	00010556
a	00010726	00010745
a	00011160	00011179
a	00011327	00011346
a	00011665	00011684
a	00011757	00011776
a	00012071	00012090
a	00012362	00012381
a	00012689	00012708
a	00012932	00012951
a	00013160	00013179
a	00013442	00013461
a	00013662	00013681
a	00013887	00013906
a	00014358	00014377
a	00014490	00014509
a	00014858	00014877
a	00015097	00015134
a	00015247	00015284
a	00015480	00015517
a	00015589	00015626
a	00015720	00015758
a	00015854	00015892
a	00016005	00016043
a	00016135	00016173
a	00016247	00016285
a	00016350	00016388
a	00016532	00016570
a	00016647	00016685
a	00016756	00016794
a	00017024	00017062
a	00017186	00017224
a	00017352	00017390
a	00017509	00017547
a	00017688	00017726
a	00017782	00017820
a	00018069	00018107
a	00018222	00018260
a	00018435	00018473
a	00018584	00018622
a	00018850	00018888
a	00019131	00019169
a	00019349	00019387
